1991-03-06-DruzPolZb-s013-02,9900,2.75
1991-03-06-VsiZbor-d004-01,0,0.0
1991-03-06-VsiZbor-s016-01,12000,3.3333333333333335
1991-03-06-ZbObc-s013-02,12600,3.5
1991-03-06-ZbZdruDel-s015-02,28500,7.916666666666667
1991-03-07-DruzPolZb-s013-03,35700,9.916666666666666
1991-03-07-VsiZbor-s016-02,600,0.16666666666666666
1991-03-07-ZbObc-s013-03,36900,10.25
1991-03-07-ZbZdruDel-s015-03,23520,6.533333333333333
1991-03-14-DruzPolZb-s014-01,27000,7.5
1991-03-14-ZbObc-s013-04,6300,1.75
1991-03-14-ZbObc-s014-01,22500,6.25
1991-03-14-ZbZdruDel-s016-01,19200,5.333333333333333
1991-03-19-DruzPolZb-s015-01,22500,6.25
1991-03-19-VsiZbor-z010-01,0,0.0
1991-03-19-ZbObc-s015-01,20700,5.75
1991-03-19-ZbZdruDel-s017-01,12720,3.533333333333333
1991-03-20-DruzPolZb-s013-04,9900,2.75
1991-03-20-DruzPolZb-s015-02,14400,4.0
1991-03-27-DruzPolZb-s016-01,22200,6.166666666666667
1991-03-27-VsiZbor-z011-01,1800,0.5
1991-03-27-ZbObc-s016-01,16200,4.5
1991-03-27-ZbZdruDel-s018-01,19500,5.416666666666667
1991-03-28-DruzPolZb-s016-02,25800,7.166666666666667
1991-03-28-VsiZbor-s017-01,4800,1.3333333333333333
1991-03-28-ZbObc-s016-02,17400,4.833333333333333
1991-03-28-ZbZdruDel-s018-02,27300,7.583333333333333
1991-03-29-DruzPolZb-s016-03,9000,2.5
1991-03-29-VsiZbor-d005-01,3000,0.8333333333333334
1991-03-29-ZbObc-s016-03,8580,2.3833333333333333
1991-03-29-ZbZdruDel-s018-03,12000,3.3333333333333335
1991-04-17-DruzPolZb-s017-01,22200,6.166666666666667
1991-04-17-VsiZbor-d006-01,600,0.16666666666666666
1991-04-17-ZbObc-s017-01,10680,2.966666666666667
1991-04-17-ZbZdruDel-s019-01,21600,6.0
1991-04-18-DruzPolZb-s017-02,16500,4.583333333333333
1991-04-18-VsiZbor-d007-01,600,0.16666666666666666
1991-04-18-ZbObc-s017-02,12600,3.5
1991-04-18-ZbZdruDel-s019-02,15300,4.25
1991-04-24-DruzPolZb-s018-01,15120,4.2
1991-04-24-VsiZbor-s017-02,8400,2.3333333333333335
1991-04-24-VsiZbor-s018-01,3420,0.95
1991-04-24-VsiZbor-z012-01,1620,0.45
1991-04-24-ZbObc-s018-01,15000,4.166666666666667
1991-04-24-ZbZdruDel-s020-01,16080,4.466666666666667
1991-04-25-DruzPolZb-s017-03,10800,3.0
1991-05-08-DruzPolZb-s018-02,300,0.08333333333333333
1991-05-08-VsiZbor-s017-03,23160,6.433333333333334
1991-05-09-DruzPolZb-s019-01,16800,4.666666666666667
1991-05-09-VsiZbor-s017-04,2700,0.75
1991-05-09-VsiZbor-z013-01,2700,0.75
1991-05-09-ZbObc-s019-01,8400,2.3333333333333335
1991-05-09-ZbZdruDel-s021-01,2100,0.5833333333333334
1991-05-14-DruzPolZb-s018-03,17400,4.833333333333333
1991-05-15-DruzPolZb-s019-02,26520,7.366666666666666
1991-05-15-ZbObc-s019-02,24780,6.883333333333334
1991-05-15-ZbZdruDel-s021-02,20400,5.666666666666667
1991-05-21-DruzPolZb-s019-03,17760,4.933333333333334
