SAŠA ŠKULJ:,407
MITO TREFALT:,374
FRANC GAČNIK:,367
GOJMIR KOMAR:,363
ROMAN KADOŠEK:,360
JASNA POGAČAR:,343
METKA STERNAD-SKUBIC:,339
PETER KOČEVAR:,339
LOJZE SENEGAČNIK:,337
NIKO VLADIMIROV:,320
PODPREDSEDNIK ANTON PERŠAK:,320
ANDREJ ŽORŽ:,316
ANICA KLEMENČIČ:,301
PETER WINKLER (šef urada za narodnosti Izvršnega sveta Skupščine Republike Slovenije):,295
FRANC ŠEBENIK:,270
ANKA TOMINŠEK:,269
DR. BOŽIDAR KRANJČIČ:,259
BOŽO HUMER:,255
RUDI MAJCEN:,254
FRANC DOLENC:,251
JANEZ ŠTULAR:,251
"SONJA TRAMŠEK, predstavnica Izvršnega sveta:",249
MARKO PODREKAR:,239
DR. VLADIMIR KORUN:,228
ANICA TEŽAK:,224
TONE FERENC:,212
JANKO PIRKOVIČ:,198
BRANE MIŠIČ:,194
GOSPOD SKUBIC:,188
MIRJANA BEKEŠ:,166
MITJA BRICELJ:,162
JOŽE FURLAN:,158
DR. MIROSLAV KALIŠNIK:,158
SREČKO KOKALJ:,150
"GOSPA SLOKAR,",148
MIRA BECELE:,144
"RADO ŠKRABAR, pomočnik republiškega sekretarja za promet in zveze:",143
STANISLAV ERŽEN:,140
BORUT MAHNIČ:,139
JASNA SLOKAN:,137
JURIJ ŽEROVEC:,134
JOŽE DULAR:,123
ANDREJ BRVAR:,117
NATAŠA SOTELŠEK:,113
"ALENKA SELAK, predstavnica Republiškega sekretariata za finance:",105
"MITJA PAVLIN,",99
STANE VALANT:,88
IVAN DIACCI iz Ministrstva za industrijo in gradbeništvo:,88
DRAGO SMOLE:,86
MILOŠ TURK:,81
DUŠAN VUKOVIČ:,78
DAVOR VINKO:,65
ROMAN LAVTAR:,63
IVANKA US:,62
ANA KRAJNC-ŽNIDARŠIČ:,45
JASNA ROBLEK:,43
MAG. MARIJA DROFENIK:,41
 PROF. DR. MARICA MAROLT - GOMIŠČEK:,20
JOŽE KOŠAK:,14
