NEVENKA AHČAN:,133
BRANE MIŠIČ:,2
ŠTEFAN KOCIPER:,226
MAG. MATJAŽ ŠINKOVEC:,274
EMIL ZAKONJŠEK:,10
DR. LJUBO BAVCON:,48
NATAŠA BELOPAVLOVIČ:,558
DR. LJUBO JAKELJ:,45
ZVONKO IVANUŠIČ:,160
ANTON KUZMAN:,39
DR. PETER VENCELJ:,221
GOJMIR KOMAR:,5
FRANC ERCE:,160
MARIJA FERLEŽ:,114
MAG. DRAŠKO VESELINOVIČ:,41
FRANC ŠEBENIK:,4
FRANC ZALAR:,65
ŽARKO PREGELJ:,545
JERNEJ JAN:,45
INGO PAŠ (republiški sekretariat za turizem in gostinstvo):,158
DR. TONE KOŠIR:,132
BORUT RAZDEVŠEK:,227
PETER JAMNIKAR:,198
JOŽE SINTIČ:,8
LUDVIK KOTNIK:,26
MARJAN VILFAN:,43
JOŽE VIDE:,6
LUDNIK GUMILAR:,4
FRANCKA STRMOLE-HLASTEC:,6
MIHAELA LOGAR:,67
JELKO KACIN:,497
LOJZE JANKO:,135
VIKTOR BREZAR:,139
JOŽICA VELIŠČEK:,28
JANEZ JERINA:,10
MIRAN BOGATAJ:,270
FRANC POČIVAVŠEK:,21
JANEZ ISKRA:,9
JANEZ STARIHA:,12
VILI ŽIŽEK:,49
TOMAŽ KOŠIR:,23
DR. RINO SIMONETI:,38
FRANC OGRIS:,27
LEOPOLD GROŠELJ:,240
JOŽEF PUŠNIK:,32
ROMAN KLADOŠEK:,20
ALBIN DEBEVEC:,44
FRANC BOŠTJANČIČ:,189
ANTON HORVAT:,68
JOŽE RAKOVEC:,24
DR. JOŽE MAGDIČ:,139
IVAN ROJC:,295
DR. AVGUST MENCINGER:,45
ROMAN KADOŠEK:,4
STANKO GREGUREC:,22
FRANC GRADIŠAR:,200
JANI ALIČ:,11
PETER STARC:,193
NATAŠA POBEGA:,10
MIHAELA BAUMAN:,21
DEJAN PERŠOLJA:,10
ANDREJ BABIČ:,7
MITO TREFALT:,6
MIRAN TRONTELJ:,8
MARJAN KRAJNC:,158
ZVONKO DRAKSLER:,33
JOŽE FURLAN:,2
SONJA AHČAN:,56
MAG. JULIJ NEMANIČ:,35
JANKO PIRKOVIČ:,2
ANICA KLEMENČIČ:,3
KSENIJA MIHOVAR-GLOBOKAR:,48
TATJANA PREŠERN:,45
MARKO JAKLIČ:,144
RUDI MAJCEN:,1
FRANC GODEŠA:,55
JOŽE GRDADOLNIK:,7
BOJAN PEČENKO:,60
FRANC GAČNIK:,4
METKA STERNAD-SKUBIC:,2
DR. DIMITRIJ RUPEL:,388
MIHA RAVNIK:,18
JANEZ KRAMBERGER:,12
JOŽE KRAMAR:,14
BRANKO BRAČKO:,23
DEJAN VLADIMIR:,6
PETER MARN:,5
RAJKO LESJAK:,47
DRAGO ŠTRUC:,17
PETER WINKLER (šef urada za narodnosti Izvršnega sveta Skupščine Republike Slovenije):,4
PETER SUVOROV (Gospodarska zbornica):,27
MAJDA SLOKAN:,10
DR. MATJAŽ KMECL:,6
ŠTEFAN SKLEDAR:,40
RASTKO PLOHL:,11
BRANKO MEDIK:,15
ALBERT VODOVNIK:,17
IRENA DOBRAVC-TATALOVIĆ:,50
EDO KAVČIČ: (Železarna Jesenice - Sindikat):,16
JOŽE ZUPANC:,7
METKA ODERLAP:,10
ANA KRAJNC-ŽNIDARŠIČ:,1
ANDREJ ENGELMAN:,27
SONJA TRAUNŠEK:,9
JANEZ BREZNIK:,29
VLADIMIR DEJAN:,31
MAG. MIROSLAV GREGORIČ:,10
IVANKA US:,1
MILENA ZEMLJIČ:,7
DR. MIHA BREJC:,43
ZORAN BIZJAK:,12
STANE ČEHOVIN:,70
DRAGO MEŽNAR:,26
DUŠAN REBOLJ:,12
BOŽO KOČEVAR:,30
NATAŠA SOTELŠEK:,1
TINE BABNIK:,26
DR. JANEZ DRNOVŠEK:,84
MAG. IVAN LAPAJNE:,56
"PETER MARN (namestnik ministra Krajnca, RS za promet in zveze):",91
MARKO ŠTROVS:,38
BOŽO TRUDEN:,6
MIRA BECELE:,2
DR. PETER TANCING:,59
DR. BORIS STROHSACK:,10
DR. MIHA TOMŠIČ:,19
JOŽE OLUP:,34
BOGOMIL BRVAR:,266
BOJAN DOLENC:,21
LADISLAV HORVAT:,12
FANI MLAKAR:,35
FRANC DOLENC:,1
PAVEL SEDOVNIK:,9
MIRKO FABČIČ:,24
MARKO SIMONITI:,6
PODPREDSEDNIK ANTON PERŠAK:,148
MAG. MIHAILO MADŽAROVIČ:,9
JURIJ ŽEROVEC:,1
MAG. JOŽE ŠANTOVEC:,9
DUŠAN ŠEŠOK:,307
DR. ANDREJ OCVIRK:,191
MILAN CVIKL:,14
SAŠA ŠKULJ:,3
MILAN BREČKO:,21
"RADO ŠKRABAR, pomočnik republiškega sekretarja za promet in zveze:",2
DR. BORIS SKET:,4
FRANC IMPERL:,86
DR. SR\AN BAVDEK:,6
DRAGO SMOLE:,1
MARJAN ŠIRAJ:,15
"ALENKA SELAK, predstavnica Republiškega sekretariata za finance:",1
ANTE MARKOVIĆ:,23
LEOPOLD FRELIH:,8
MARKO PODREKAR:,3
MAJA ŠUBIC:,38
STANISLAV KRAMBERGER:,7
STANKO HVALE:,9
ŠTEFAN LEBAR:,10
IVAN REMŠKAR:,25
Dr. MARIJA MENCEJ:,75
JOŽE ŠKOBERNE:,41
CIRIL BAŠKOVIČ:,24
TONE HREN:,3
SREČKO KOKALJ:,2
MILOŠ TURK:,1
ADRIJANA KOVAČIČ:,4
MITJA BRICELJ:,2
IVAN BITENC:,56
MIRA BITENC:,23
FRANC (FERI) HORVAT:,20
ALENKA OREL:,52
DR. BORIS PLESKOVIČ:,9
PRIMOŽ BAJEC:,12
MIRA BECELE:,7
JASNA SLOKAN:,1
MIRJANA BEKEŠ:,1
"MILAN UTROŠA, predstavnik Zveze svobodnih sindikatov Slovenije:",6
DARJA JURJEC:,13
DR. FRANCE ARHAR:,41
DR. IVAN RIBNIKAR:,24
DR. RAFAEL KAPŠ:,3
DR. MARKO DEMŠAR:,14
NEVENKA LEKŠE:,12
DUŠAN VUKOVIČ:,1
ERIH ŠERBEC:,3
MARJAN KNEZ:,23
DR. DUŠAN KEBER:,42
METKA MENCEJ:,45
JANEZ ERJAVEC:,8
ANKA TOMINŠEK:,1
MAG. ŠTEFAN KOROŠEC:,34
JANEZ ŠTULAR:,1
META ŠTOKA-DEBEVEC:,17
ANDREJ BRVAR:,3
STANISLAV PETERLIN:,25
VEKOSLAV RAJH:,33
DR. BOJAN PRETNAR:,66
MAG. DAGMAR ŠUSTER:,15
LOJZE ŠOSTER:,5
MARIJA BEZOVŠEK:,11
DR. MARJAN ROŽIČ:,7
ANICA TEŽAK:,5
DUŠANKA STRIČEVIČ:,10
JANEZ TRČEK:,19
JOŽE VALENTIČ:,19
MAJA VOJNOVIČ:,18
MATKO POHAR:,19
TATJANA PETRIČEK:,11
SONJA DRAŽIČ:,24
ANDREJ KORENČAN:,22
 PROF. DR. MARICA MAROLT - GOMIŠČEK:,1
"JOŽE JERAJ, minister za trgovino:",99
MAG. MARKO VOLJČ:,91
"MITJA PAVLIN,",1
PETER KOČEVAR:,4
MIRAN JUS:,5
DR. ŠTEFAN BOJNEC:,28
DR. SREČKO ZAKRAJŠEK:,10
JELKA BARLIČ:,32
MARTIN JAKŠE:,17
DR. MIROSLAV KALIŠNIK:,2
DR. BOŽIDAR KRANJČIČ:,3
MAG. HERMAN RIGELNIK:,51
DR. JOŽE PUČNIK:,24
DR. SLAVKO GABER:,9
MICHELE VOYER:,65
JOŽE DROFENIK:,14
DR. PETER TIŠLER:,13
MAG. MITJA GASPARI:,104
IVAN DIACCI iz Ministrstva za industrijo in gradbeništvo:,1
"GOSPA SLOKAR,",2
DR. DAVORIN KRAČUN:,52
MAG. TONE ROP:,28
BRANKO GRIMS:,48
MAG. DUŠAN FATUR:,32
MAG.IGOR OMERZA:,20
JASNA POGAČAR:,4
ROMAN LAVTAR:,1
TATJANA KRIVIC-TAVČAR:,10
GOSPOD SKUBIC:,1
BOŽO HUMER:,10
MIHA KOZINC (minister za pravosodje):,73
MARJAN JEMEC:,5
BOJAN UŠENIČNIK:,8
JANEZ GOSPODINJAČKI:,11
NEVEN BORAK:,23
MIRKO FAPČIČ:,6
ANDREJ ŽORŽ:,6
DAVORIN VALENTINČIČ:,11
DR. MAKS TAJNIKAR:,12
JOŽE GUBENŠEK:,9
OLGA MARINKO:,5
LOJZE SENEGAČNIK:,4
JASNA KISOVEC:,5
JOŽE DULAR:,1
MARGARETA ATELŠEK:,18
NIVES MARINČEK:,13
BOGOMIR KOŠAK:,17
IVANKA IVANUŠIČ:,4
"RENATO KRAJNC, direktor Urada Vlade Republike Slovenije za priseljevanje in begunce:",5
BORUT MAHNIČ:,2
BOGOMIR KOS:,14
"DR. PAVEL ZGAGA, namestnik ministra za šolstvo in šport:",6
JASNA ROBLEK:,1
DUŠAN HOČEVAR:,10
