gap,Potrč govori iz klopi
gap,Vmes nekaj iz klopi - se ne sliši
gap,predsedujoči ga prekine
gap,Iz klopi nekdo nekaj vpraša.
gap,"Nekdo ima pripombo iz klopi, ki je nerazumljiva."
gap,Iz klopi nerazumljivo.
gap,iz klopi.
gap,Iz klopi nerazumljivo.
gap,ni vključen.
gap,Nekdo iz dvorane - ne sliši se.
gap,Glasovi iz dvorane.
gap,Govorjenje iz klopi: za vse.
gap,Burni glasovi iz dvorane.
gap,Glasovi iz klopi.
gap,Pripombe iz klopi.
gap,Govorjenje iz dvorane?
gap,Vprašanje iz klopi:
gap,"Pogovarja se s sodelavci: Kot osnutek, če ga on (Erce) umika, da sploh ne razpravljamo."
gap,Glasovi iz dvorane.
gap,ni vključena
gap,Intervenca J. Smoleta iz dvorane - ne sliši se.
gap,Nekdo nekaj pripominja iz klopi.
gap,Pregovarjanje v klopeh.
gap,Nekdo iz klopi ima pripombo.
gap,Pripomba iz klopi.
gap,pripomba iz klopi
gap,govori iz klopi
gap,"Nekdo iz klopi razlaga nekaj o svojem amandmaju, (54. člen) za katerega predsednik Jože Zupančič ugotavlja, da ga nima. Pustimo. Dobro. V redu."
gap,vmes govorjenje iz klopi.
gap,glasovi iz klopi
gap,govorjenje iz klopi.
gap,Glasovi iz klopi.
gap,"Miha Jazbinšek nekaj sporoča iz klopi, ni pa razumljivo!"
gap,neka pripomba iz klopi!
gap,"Dialog v klopi med več delegati, ki ni razumljiv!"
gap,Nekdo nekaj govori iz klopi!
gap,"Miha Jazbinšek zopet govori iz klopi in ni dobro razumljivo, hkrati pa govorijo mnogi delegati vse povprek!"
gap,Zopet govorijo vsi hkrati kar iz klopi in ni razumljivo!
gap,Nekaj pripomb iz klopi!
gap,Še vedno pripombe iz klopi!
gap,Še vedno pripombe iz klopi!
gap,Pripomba gospoda Jazbinška iz klopi!
gap,Pripombe iz klopi in predsednik odgovarja nanje!
gap,Gospod Zlobec in Jazbinšek nekaj pojasnjujeta!
gap,Pripomba iz klopi!
gap,Zopet neka pripomba iz klopi!
gap,Zopet pripombe iz klopi!
gap,Pripomba iz klopi!
gap,"Nekdo iz klopi ima pripombe, ki niso razumljive!"
gap,Zopet pripombe iz klopi!
gap,Pripombe iz klopi in odgovori nanje!
gap,iz klopi - večinoma nerazumljivo!
gap,nekdo nekaj sporoča iz klopi!
gap,"Gospa Martina Lippai, svetovalka IS v Ministrstvu za kmetijstvo in prehrano govori iz kopi in se ne sliši dobro!"
gap,Anka Osterman nekaj sporoča iz klopi in ni razumljivo!
gap,Pojasnjevanje iz klopi. Se ne sliši!
gap,Jaša Zlobec nekaj govori iz klopi!
gap,Govorjenje iz klopi!
gap,Govorjenje iz klopi!
gap,Glasovi iz klopi!
gap,Govorjenje iz klopi!
gap,Posvet s sekretarko zbora.
gap,Spraševanje iz klopi!
gap,Posvetovanje s sekretarko.
gap,Govorjenje iz klopi!
gap,Glasovi iz klopi!
gap,Govorjenje iz klopi!
gap,"Govori jih več hkrati, tudi iz dvorane, se ne sliši!"
gap,"Govorjenje iz dvorane, se ne sliši!"
gap,Nekdo govori iz klopi!
gap,Govorijo vsi povprek!
gap,Govori iz klopi in se ga slabo razume!
gap,Govorijo vsi povprek!
gap,Šter je nerazumljiv!
gap,govori iz klopi
gap,"Govori iz klopi, je nerazumljivo!"
gap,Govorjenje iz klopi!
gap,Pripombe iz klopi!
gap,"Pripombe iz klopi, daljši presledek..."
gap,Pripombe iz klopi!
gap,Še vedno pripombe iz klopi!
gap,Govori iz klopi in se slabo razume.
gap,Nekaj besed ni posnetih.
gap,"Ni razumljivo, ni vključen in iz klopi govori!"
gap,Dogovarjanje!
gap,"Roman Jakič sporoča, da umika."
gap,Nekdo se oglaša iz klopi - ne sliši se.
gap,Glasovi iz dvorane.
gap,Nekdo se oglaša iz klopi.
gap,Glasovi iz dvorane.
gap,Glasovi iz dvorane.
gap,Pripomba iz klopi.
gap,Komentar iz dvorane.
gap,Intervencija iz dvorane.
gap,Intervencija iz dvorane.
gap,"Glas iz dvorane, ni jasen."
gap,"Iz klopi, ne sliši se."
gap,Tiho posvetovanje.
gap,Glasovi iz dvorane.
gap,Posvetovanje.
gap,Glasovi iz dvorane.
gap,Glasovi iz dvorane.
gap,Tiho posvetovanje.
gap,Glasovi iz dvorane.
gap,Odgovor iz dvorane - ne sliši se.
gap,Odmev iz dvorane - ne sliši se.
gap,Dogovarjanje.
gap,Tiho posvetovanje.
gap,Glasovi iz dvorane.
gap,Glasovi iz dvorane.
gap,Glas iz dvorane.
gap,Reakcija iz dvorane - ne sliši se.
gap,Govorjenje iz dvorane.
gap,iz klopi
gap,se ne razume
gap,mnenja v dvorani
gap,Dogovarjanje.
gap,Reakcije iz dvorane.
gap,Dogovarjanje v dvorani; morda signalizacija ne dela prav?
gap,Protest g. Golije - iz dvorane in se ne sliši.
gap,Reakcija v dvorani.
gap,Reakcija in ugovori iz dvorane.
gap,Jože Smole iz klopi - ne sliši se.
gap,Reakcija iz dvorane - ne sliši se.
gap,Pripombe iz klopi.
gap,Pripomba nekoga.
gap,Pripomba iz klopi.
gap,Nerazločno.
gap,Odmev iz dvorane - nekaj o 12. členu - ne sliši se.
gap,Pojasnilo iz dvorane - ne sliši se.
gap,govori nejasno iz klopi.
gap,"Vmes se je oglasil gospod Jaša Zlobec, vendar se ni vključil, se ga ne sliši."
gap,govori iz klopi
gap,Govori iz klopi.
gap,Glasovi iz dvorane.
gap,nekdo nekaj pripominja
gap,Pripombe iz klopi.
gap,"Usklajevanje, posvetovanje"
gap,govorjenje v dvorani
gap,Šepet gospe.
gap,Več jih govori iz klopi.
gap,"Vmes nekdo, se ne razume: ... dodatni sklep."
gap,Nekaj govorijo iz klopi.
gap,Iz klopi medklic
gap,Pripombe iz klopi.
gap,Pripombe iz klopi.
gap,Pripombe iz klopi.
